date,timestamp,timestamp_ms,respiration_rate
2026-03-02,2026-03-02 03:02:00,1772420520000,13.0
2026-03-02,2026-03-02 03:04:00,1772420640000,13.0
2026-03-02,2026-03-02 03:06:00,1772420760000,13.0
2026-03-02,2026-03-02 03:08:00,1772420880000,13.0
2026-03-02,2026-03-02 03:10:00,1772421000000,13.0
2026-03-02,2026-03-02 03:12:00,1772421120000,13.0
2026-03-02,2026-03-02 03:14:00,1772421240000,13.0
2026-03-02,2026-03-02 03:16:00,1772421360000,14.0
2026-03-02,2026-03-02 03:18:00,1772421480000,17.0
2026-03-02,2026-03-02 03:20:00,1772421600000,16.0
2026-03-02,2026-03-02 03:22:00,1772421720000,14.0
2026-03-02,2026-03-02 03:24:00,1772421840000,12.0
2026-03-02,2026-03-02 03:26:00,1772421960000,12.0
2026-03-02,2026-03-02 03:28:00,1772422080000,14.0
2026-03-02,2026-03-02 03:30:00,1772422200000,15.0
2026-03-02,2026-03-02 03:32:00,1772422320000,12.0
2026-03-02,2026-03-02 03:34:00,1772422440000,11.0
2026-03-02,2026-03-02 03:36:00,1772422560000,17.0
2026-03-02,2026-03-02 03:38:00,1772422680000,19.0
2026-03-02,2026-03-02 03:40:00,1772422800000,16.0
2026-03-02,2026-03-02 03:42:00,1772422920000,11.0
2026-03-02,2026-03-02 03:44:00,1772423040000,12.0
2026-03-02,2026-03-02 03:46:00,1772423160000,15.0
2026-03-02,2026-03-02 03:48:00,1772423280000,13.0
2026-03-02,2026-03-02 03:50:00,1772423400000,11.0
2026-03-02,2026-03-02 03:52:00,1772423520000,12.0
2026-03-02,2026-03-02 03:54:00,1772423640000,12.0
2026-03-02,2026-03-02 03:56:00,1772423760000,11.0
2026-03-02,2026-03-02 03:58:00,1772423880000,13.0
2026-03-02,2026-03-02 04:00:00,1772424000000,12.0
2026-03-02,2026-03-02 04:02:00,1772424120000,13.0
2026-03-02,2026-03-02 04:04:00,1772424240000,12.0
