date,timestamp,timestamp_ms,stress_level
2026-03-03,2026-03-03 22:15:00,1772576100000,-1
2026-03-03,2026-03-03 22:18:00,1772576280000,-1
2026-03-03,2026-03-03 22:21:00,1772576460000,-1
2026-03-03,2026-03-03 22:24:00,1772576640000,-1
2026-03-03,2026-03-03 22:27:00,1772576820000,-1
2026-03-03,2026-03-03 22:30:00,1772577000000,-2
2026-03-03,2026-03-03 22:33:00,1772577180000,-2
2026-03-03,2026-03-03 22:36:00,1772577360000,-1
2026-03-03,2026-03-03 22:39:00,1772577540000,-2
2026-03-03,2026-03-03 22:42:00,1772577720000,61
2026-03-03,2026-03-03 22:45:00,1772577900000,46
2026-03-03,2026-03-03 22:48:00,1772578080000,47
2026-03-03,2026-03-03 22:51:00,1772578260000,39
2026-03-03,2026-03-03 22:54:00,1772578440000,30
2026-03-03,2026-03-03 22:57:00,1772578620000,37
2026-03-03,2026-03-03 23:00:00,1772578800000,29
2026-03-03,2026-03-03 23:03:00,1772578980000,32
2026-03-03,2026-03-03 23:06:00,1772579160000,60
2026-03-03,2026-03-03 23:09:00,1772579340000,23
2026-03-03,2026-03-03 23:12:00,1772579520000,28
2026-03-03,2026-03-03 23:15:00,1772579700000,31
2026-03-03,2026-03-03 23:18:00,1772579880000,-1
2026-03-03,2026-03-03 23:21:00,1772580060000,25
2026-03-03,2026-03-03 23:24:00,1772580240000,30
2026-03-03,2026-03-03 23:27:00,1772580420000,-1
2026-03-03,2026-03-03 23:30:00,1772580600000,31
2026-03-03,2026-03-03 23:33:00,1772580780000,32
2026-03-03,2026-03-03 23:36:00,1772580960000,27
2026-03-03,2026-03-03 23:39:00,1772581140000,27
2026-03-03,2026-03-03 23:42:00,1772581320000,31
2026-03-03,2026-03-03 23:45:00,1772581500000,27
2026-03-03,2026-03-03 23:48:00,1772581680000,30
2026-03-03,2026-03-03 23:51:00,1772581860000,42
2026-03-03,2026-03-03 23:54:00,1772582040000,30
2026-03-03,2026-03-03 23:57:00,1772582220000,29
2026-03-04,2026-03-04 00:00:00,1772582400000,46
2026-03-04,2026-03-04 00:03:00,1772582580000,25
2026-03-04,2026-03-04 00:06:00,1772582760000,-1
2026-03-04,2026-03-04 00:09:00,1772582940000,37
2026-03-04,2026-03-04 00:12:00,1772583120000,25
2026-03-04,2026-03-04 00:15:00,1772583300000,28
2026-03-04,2026-03-04 00:18:00,1772583480000,-1
2026-03-04,2026-03-04 00:21:00,1772583660000,32
2026-03-04,2026-03-04 00:24:00,1772583840000,24
2026-03-04,2026-03-04 00:27:00,1772584020000,31
2026-03-04,2026-03-04 00:30:00,1772584200000,23
2026-03-04,2026-03-04 00:33:00,1772584380000,18
2026-03-04,2026-03-04 00:36:00,1772584560000,17
2026-03-04,2026-03-04 00:39:00,1772584740000,17
2026-03-04,2026-03-04 00:42:00,1772584920000,15
2026-03-04,2026-03-04 00:45:00,1772585100000,18
2026-03-04,2026-03-04 00:48:00,1772585280000,19
2026-03-04,2026-03-04 00:51:00,1772585460000,19
2026-03-04,2026-03-04 00:54:00,1772585640000,18
2026-03-04,2026-03-04 00:57:00,1772585820000,20
2026-03-04,2026-03-04 01:00:00,1772586000000,21
2026-03-04,2026-03-04 01:03:00,1772586180000,22
2026-03-04,2026-03-04 01:06:00,1772586360000,23
2026-03-04,2026-03-04 01:09:00,1772586540000,23
2026-03-04,2026-03-04 01:12:00,1772586720000,21
2026-03-04,2026-03-04 01:15:00,1772586900000,22
2026-03-04,2026-03-04 01:18:00,1772587080000,23
2026-03-04,2026-03-04 01:21:00,1772587260000,23
2026-03-04,2026-03-04 01:24:00,1772587440000,31
2026-03-04,2026-03-04 01:27:00,1772587620000,22
2026-03-04,2026-03-04 01:30:00,1772587800000,20
2026-03-04,2026-03-04 01:33:00,1772587980000,18
2026-03-04,2026-03-04 01:36:00,1772588160000,22
2026-03-04,2026-03-04 01:39:00,1772588340000,21
2026-03-04,2026-03-04 01:42:00,1772588520000,18
2026-03-04,2026-03-04 01:45:00,1772588700000,19
2026-03-04,2026-03-04 01:48:00,1772588880000,19
2026-03-04,2026-03-04 01:51:00,1772589060000,22
2026-03-04,2026-03-04 01:54:00,1772589240000,19
2026-03-04,2026-03-04 01:57:00,1772589420000,13
2026-03-04,2026-03-04 02:00:00,1772589600000,16
2026-03-04,2026-03-04 02:03:00,1772589780000,19
2026-03-04,2026-03-04 02:06:00,1772589960000,19
2026-03-04,2026-03-04 02:09:00,1772590140000,13
2026-03-04,2026-03-04 02:12:00,1772590320000,17
2026-03-04,2026-03-04 02:15:00,1772590500000,15
