date,timestamp,timestamp_ms,heart_rate
2026-03-01,2026-03-01 11:30:00,1772364600000,57
2026-03-01,2026-03-01 11:32:00,1772364720000,58
2026-03-01,2026-03-01 11:34:00,1772364840000,70
2026-03-01,2026-03-01 11:36:00,1772364960000,61
2026-03-01,2026-03-01 11:38:00,1772365080000,71
2026-03-01,2026-03-01 11:40:00,1772365200000,74
2026-03-01,2026-03-01 11:42:00,1772365320000,79
2026-03-01,2026-03-01 11:44:00,1772365440000,64
2026-03-01,2026-03-01 11:46:00,1772365560000,53
2026-03-01,2026-03-01 11:48:00,1772365680000,52
2026-03-01,2026-03-01 11:50:00,1772365800000,54
2026-03-01,2026-03-01 11:52:00,1772365920000,54
2026-03-01,2026-03-01 11:54:00,1772366040000,53
2026-03-01,2026-03-01 11:56:00,1772366160000,58
2026-03-01,2026-03-01 11:58:00,1772366280000,57
2026-03-01,2026-03-01 12:00:00,1772366400000,55
2026-03-01,2026-03-01 12:02:00,1772366520000,53
2026-03-01,2026-03-01 12:04:00,1772366640000,53
2026-03-01,2026-03-01 12:06:00,1772366760000,53
2026-03-01,2026-03-01 12:08:00,1772366880000,54
2026-03-01,2026-03-01 12:10:00,1772367000000,55
2026-03-01,2026-03-01 12:12:00,1772367120000,53
2026-03-01,2026-03-01 12:14:00,1772367240000,51
2026-03-01,2026-03-01 12:16:00,1772367360000,53
2026-03-01,2026-03-01 12:18:00,1772367480000,64
2026-03-01,2026-03-01 12:20:00,1772367600000,68
2026-03-01,2026-03-01 12:22:00,1772367720000,68
2026-03-01,2026-03-01 12:24:00,1772367840000,70
2026-03-01,2026-03-01 12:26:00,1772367960000,69
2026-03-01,2026-03-01 12:28:00,1772368080000,69
2026-03-01,2026-03-01 12:30:00,1772368200000,68
2026-03-01,2026-03-01 12:32:00,1772368320000,63
2026-03-01,2026-03-01 12:34:00,1772368440000,61
2026-03-01,2026-03-01 12:36:00,1772368560000,51
2026-03-01,2026-03-01 12:38:00,1772368680000,56
2026-03-01,2026-03-01 12:40:00,1772368800000,57
2026-03-01,2026-03-01 12:42:00,1772368920000,59
2026-03-01,2026-03-01 12:44:00,1772369040000,57
2026-03-01,2026-03-01 12:46:00,1772369160000,57
2026-03-01,2026-03-01 12:48:00,1772369280000,62
2026-03-01,2026-03-01 12:50:00,1772369400000,63
2026-03-01,2026-03-01 12:52:00,1772369520000,63
2026-03-01,2026-03-01 12:54:00,1772369640000,61
2026-03-01,2026-03-01 12:56:00,1772369760000,55
2026-03-01,2026-03-01 12:58:00,1772369880000,64
2026-03-01,2026-03-01 13:00:00,1772370000000,65
2026-03-01,2026-03-01 13:02:00,1772370120000,63
2026-03-01,2026-03-01 13:04:00,1772370240000,64
2026-03-01,2026-03-01 13:06:00,1772370360000,67
2026-03-01,2026-03-01 13:08:00,1772370480000,63
2026-03-01,2026-03-01 13:10:00,1772370600000,62
2026-03-01,2026-03-01 13:12:00,1772370720000,63
2026-03-01,2026-03-01 13:14:00,1772370840000,68
2026-03-01,2026-03-01 13:16:00,1772370960000,67
2026-03-01,2026-03-01 13:18:00,1772371080000,66
2026-03-01,2026-03-01 13:20:00,1772371200000,68
2026-03-01,2026-03-01 13:22:00,1772371320000,70
2026-03-01,2026-03-01 13:24:00,1772371440000,69
2026-03-01,2026-03-01 13:26:00,1772371560000,61
2026-03-01,2026-03-01 13:28:00,1772371680000,59
2026-03-01,2026-03-01 13:30:00,1772371800000,59
2026-03-01,2026-03-01 13:32:00,1772371920000,64
2026-03-01,2026-03-01 13:34:00,1772372040000,71
2026-03-01,2026-03-01 13:36:00,1772372160000,68
2026-03-01,2026-03-01 13:38:00,1772372280000,58
2026-03-01,2026-03-01 13:40:00,1772372400000,58
2026-03-01,2026-03-01 13:42:00,1772372520000,52
2026-03-01,2026-03-01 13:44:00,1772372640000,52
2026-03-01,2026-03-01 13:46:00,1772372760000,53
2026-03-01,2026-03-01 13:48:00,1772372880000,55
2026-03-01,2026-03-01 13:50:00,1772373000000,63
2026-03-01,2026-03-01 13:52:00,1772373120000,62
2026-03-01,2026-03-01 13:54:00,1772373240000,56
2026-03-01,2026-03-01 13:56:00,1772373360000,55
2026-03-01,2026-03-01 13:58:00,1772373480000,56
2026-03-01,2026-03-01 14:00:00,1772373600000,56
2026-03-01,2026-03-01 14:02:00,1772373720000,57
2026-03-01,2026-03-01 14:04:00,1772373840000,54
2026-03-01,2026-03-01 14:06:00,1772373960000,56
2026-03-01,2026-03-01 14:08:00,1772374080000,54
2026-03-01,2026-03-01 14:10:00,1772374200000,52
2026-03-01,2026-03-01 14:12:00,1772374320000,58
2026-03-01,2026-03-01 14:14:00,1772374440000,53
2026-03-01,2026-03-01 14:16:00,1772374560000,53
2026-03-01,2026-03-01 14:18:00,1772374680000,51
2026-03-01,2026-03-01 14:20:00,1772374800000,54
2026-03-01,2026-03-01 14:22:00,1772374920000,57
2026-03-01,2026-03-01 14:24:00,1772375040000,59
2026-03-01,2026-03-01 14:26:00,1772375160000,60
2026-03-01,2026-03-01 14:28:00,1772375280000,61
2026-03-01,2026-03-01 14:30:00,1772375400000,58
2026-03-01,2026-03-01 14:32:00,1772375520000,53
2026-03-01,2026-03-01 14:34:00,1772375640000,53
2026-03-01,2026-03-01 14:36:00,1772375760000,56
2026-03-01,2026-03-01 14:38:00,1772375880000,61
2026-03-01,2026-03-01 14:40:00,1772376000000,52
2026-03-01,2026-03-01 14:42:00,1772376120000,58
2026-03-01,2026-03-01 14:44:00,1772376240000,55
2026-03-01,2026-03-01 14:46:00,1772376360000,58
2026-03-01,2026-03-01 14:48:00,1772376480000,56
2026-03-01,2026-03-01 14:50:00,1772376600000,58
2026-03-01,2026-03-01 14:52:00,1772376720000,65
2026-03-01,2026-03-01 14:54:00,1772376840000,52
2026-03-01,2026-03-01 14:56:00,1772376960000,50
2026-03-01,2026-03-01 14:58:00,1772377080000,48
2026-03-01,2026-03-01 15:00:00,1772377200000,47
